"p_max","L_max","phi_max"
1.47142857142857,-1106.39479719669,1.3869230398256
1.84285714285714,-1093.94160029969,0.180808883278491
1.95714285714286,-1079.71441410406,0.0876635330894476
2.07142857142857,-1090.78125997266,0.0500278058074221
1.67142857142857,-1097.98586071363,0.483765482073528
1.32857142857143,-1101.40906689303,2.97041067422159
1.78571428571429,-1090.75364630387,0.232362581463473
1.92857142857143,-1085.84334313592,0.111069646635664
1.72857142857143,-1083.92147849217,0.291527918437502
1.61428571428571,-1095.53391221108,0.608861319338274
1.61428571428571,-1082.80597268747,0.555077796811699
1.78571428571429,-1090.94123616317,0.23071676889217
1.64285714285714,-1103.73536986038,0.595269718282181
1.7,-1087.34704196076,0.369280896737204
1.75714285714286,-1100.10346795247,0.307418198023873
1.75714285714286,-1098.6068590038,0.321876682019869
2.18571428571429,-1108.22702074889,0.0324398930245641
1.78571428571429,-1104.83915684242,0.25342932788719
1.61428571428571,-1082.08248022176,0.528736012940233
1.47142857142857,-1091.29566364304,1.31587027023534
1.7,-1116.00775793493,0.455438247766335
1.72857142857143,-1095.2643289408,0.358642432829093
1.84285714285714,-1102.93863220152,0.205439926385228
2.07142857142857,-1125.40341894445,0.0738926394003922
1.44285714285714,-1098.16816902386,1.5413972688939
1.72857142857143,-1086.45198676015,0.311707219882054
1.75714285714286,-1098.85463500574,0.292926686377772
2.15714285714286,-1061.85798201278,0.0255532098492667
1.9,-1092.7489165886,0.136125054329617
1.98571428571429,-1098.79451974153,0.0889182705021646
1.78571428571429,-1091.37153113631,0.236140492353132
1.95714285714286,-1105.80038169467,0.112803107567152
1.52857142857143,-1105.33452584967,1.03784540694372
2.04285714285714,-1108.78252061557,0.0725431037426212
1.61428571428571,-1094.20812747688,0.616353175807321
1.41428571428571,-1108.10298824659,2.07261601306645
2.24285714285714,-1109.96434865191,0.025713219389687
1.58571428571429,-1082.07806770584,0.658189963502973
1.58571428571429,-1087.70327198931,0.656970263580532
1.61428571428571,-1111.04044084687,0.667960442102113
1.41428571428571,-1091.4457828702,1.81980908125107
1.5,-1094.14988818916,1.12752890220663
1.58571428571429,-1085.63304409531,0.628365662221946
1.95714285714286,-1087.88848949468,0.0914582360167044
1.58571428571429,-1082.70118354939,0.634743139421683
1.98571428571429,-1106.21309399712,0.096904848523289
1.55714285714286,-1092.44732625344,0.798591386548139
1.58571428571429,-1105.23784027433,0.797767197370008
2.24285714285714,-1104.05148642099,0.024534626152014
1.81428571428571,-1103.4957472493,0.235568950443681
1.92857142857143,-1083.59143331464,0.105464736396307
1.98571428571429,-1084.4087721744,0.0799463382928575
2.01428571428571,-1084.06044046737,0.0663867796554966
1.47142857142857,-1112.68343292616,1.51841443955865
1.47142857142857,-1084.92319808487,1.2379506790004
1.78571428571429,-1083.48473345217,0.234148884547957
1.41428571428571,-1080.70811128545,1.53214816422997
1.52857142857143,-1095.62841301168,0.979636410984968
1.67142857142857,-1088.83495700557,0.418018995867297
1.72857142857143,-1102.40891014162,0.358419493190639
2.18571428571429,-1098.43740089965,0.0311611120328567
2.04285714285714,-1097.66139246799,0.0641060826232428
1.52857142857143,-1099.1949884088,1.01306532504571
1.87142857142857,-1091.58705760085,0.156925224002017
1.58571428571429,-1086.33768345151,0.631799484175881
1.75714285714286,-1092.20954292729,0.28523762197617
1.41428571428571,-1097.41070793128,1.93038572320432
2.15714285714286,-1092.31883965439,0.0341235800172597
2.01428571428571,-1099.99603280972,0.0779000177528346
1.35714285714286,-1095.53981532212,2.42410150920125
1.27142857142857,-1101.69183518145,4.3698703620265
1.92857142857143,-1091.62811410418,0.114993185528134
2.12857142857143,-1101.84050774431,0.0409785374714954
1.44285714285714,-1084.00658211221,1.37366388363642
2.01428571428571,-1109.38672293781,0.0883722446756987
1.5,-1101.89424113152,1.17644953590372
1.95714285714286,-1097.47369379857,0.0998241809304426
1.52857142857143,-1100.25024157176,1.07655050187505
1.7,-1106.05276845237,0.421516616173663
2.15714285714286,-1096.82763000928,0.0332163917250436
1.64285714285714,-1108.79681815376,0.628639820571739
1.35714285714286,-1093.79112202111,2.34444930511076
1.5,-1095.86444092083,1.12548969950593
1.41428571428571,-1108.76350251976,2.06358562828322
2.1,-1085.88309761508,0.0405533946534278
1.21428571428571,-1087.89054678759,4.76014082259174
1.78571428571429,-1098.59749248363,0.245975150171475
1.5,-1081.9250811847,0.982135496783022
1.78571428571429,-1106.33681720621,0.27383205895145
1.87142857142857,-1102.46768045678,0.162411854526374
1.95714285714286,-1097.96285975928,0.103443727009587
1.87142857142857,-1094.4517515177,0.167175292468445
1.64285714285714,-1101.91570428083,0.56368615436146
1.98571428571429,-1096.0231819614,0.0848186307345675
2.32857142857143,-1094.79908002012,0.0143374108091026
1.81428571428571,-1093.37276264069,0.200993401759826
1.44285714285714,-1087.44192987822,1.46376460799684
2.04285714285714,-1084.3643500985,0.0554452955435025
1.52857142857143,-1091.3392494784,0.89424278864808
1.67142857142857,-1094.06210144105,0.440276062597873
1.98571428571429,-1077.15880310901,0.0777480796293992
